,Home->Tools->Power tools->Power tool accessories->Saw blades & accessories,Power tools,Atlas Uni Turbo 300mm,For the cutting of building materials,https://www.homebase.co.uk/atlas-uni-turbo-300mm_p488728,48.49,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/1f88686f-8d98-422d-9598-a750109577ba.jpg,Unnamed: 7,488728
2877,Home->Garden & Outdoor->Garden buildings->Garden storage->Wooden garden storage,Garden buildings,Forest Garden Wooden Apex Garden Store,"This Garden Store from Forest is a convenient and versatile storage unit that is perfect for outdoor areas where space is limited. With its relatively compact footprint this store can be sited near a back door or will look great on a patio. Perfect for tidying away garden clutter, its height means it is ideal for forks, spades and brooms. ",https://www.homebase.co.uk/forest-garden-wooden-apex-garden-store_p387692,149.0,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/ec9ddb4f-d818-46ad-8ebd-e8ae1eb02940.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/b9bb462d-4702-4098-9dd0-37f17230d1dc.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/32ab3a10-8659-4539-8502-dbc4f5290cfd.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/852e76c1-62b0-443d-bf21-03c6dd72fc6e.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/7f1e3ff3-abd3-4e90-ac6f-050f14fa666b.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/044d17a5-918f-4278-a8a3-2da33672a419.jpg",,387692
2878,Home->Bathrooms & Plumbing->Plumbing->Radiators->Designer radiators,Plumbing,Balterley Harrington Triple Radiator - 1800 x 291mm - High Gloss White,"Add a classic feature to your room with this high gloss, timeless radiator.",https://www.homebase.co.uk/balterley-harrington-triple-radiator-1800-x-291mm-high-gloss-white_p501950,300.0,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/df66db34-3705-481f-9934-599ba24f07f2.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/5468e9fa-30e6-4e4c-90ca-77f19d26cdac.jpg",,501950
2879,Home->Paint & Decorating->Paint->Specialist paint->All surface paint,Paint,Hammerite Black - Hammered Exterior Aerosol Paint - 400ml,Hammerite Hammered Exterior Aerosol paint is a durable and corrosion resistant decorative coating.,https://www.homebase.co.uk/hammerite-black-hammered-exterior-aerosol-paint-400ml_p882002,13.98,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/1fc30139-d05d-49df-a2ca-11183a3a5b76.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/5c44a72c-8bd8-48c0-b870-fa9cf595609c.jpg",,882002
2880,Home->Bathrooms & Plumbing->Plumbing->Radiators->Heated towel rails->Other colours,Plumbing,Terma Zig Zag Towel Warmer 1070 x 500mm Metallic Black,Zigzag makes a great first impression and emits positive emotional energy.,https://www.homebase.co.uk/terma-zig-zag-towel-warmer-1070-x-500mm-metallic-black_p496291,249.0,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/f7e9220e-62c9-4d15-ae05-59f17ecc6d86.jpg,,496291
2881,Home->Bathrooms & Plumbing->Bathroom furniture suites->Dynamic range->Grey avola,Bathroom furniture suites,Balterley Dynamic 400mm Compact Vanity Unit with Basin - Grey Avola,The unique combination of the grey avola finish and natural wood grain creates a stunning focal point in your bathroom.,https://www.homebase.co.uk/balterley-dynamic-400mm-compact-vanity-unit-with-basin-grey-avola_p503849,220.0,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/f876ee89-68a4-48af-9f32-cddd25c7a3b9.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/aac871a8-05b3-4344-9166-9246b1a23a45.jpg",,503849
2882,Home->Building & Hardware->Doors & door furniture->Letter boxes,Doors & door furniture,Bologne Wall Mount Mailbox,"Bologne Wall Mount Mailbox is sleek and modern, is suited to all fences, brick and rendered walls and comes complete with fixings for easy installation.",https://www.homebase.co.uk/bologne-wall-mount-mailbox_p383642,24.99,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/5d449ee7-1496-432d-a86e-a444ce7d7682.jpg,,383642
2883,Home->Tools->Power tools->Power tool accessories->Drill & driver bits,Power tools,Stanley Fatmax 33Pc Torsion Screwdriver Bit Set  - STA88000-XJ,STANLEY FATMAX 33 piece torsion screwdriver set.,https://www.homebase.co.uk/stanley-fatmax-33pc-torsion-screwdriver-bit-set-sta88000-xj_p315326,29.0,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/02499acc-bc02-4945-b164-46d01869a8aa.jpg,,315326
2884,Home->Kitchens->Kitchen worktops->Solid surface worktops->Maia->Fossil->Sink modules->42mm,Kitchen worktops,Maia Fossil Kitchen Sink Worktop - Acrylic 1.5 Duo Left Hand Bowl - 360 x 65 x 4.2cm,"Fossil is a new colour in the Maia range, a combination of pearl and silver that will look great with an array of kitchen designs. The acrylic 1.5 duo bowl comes in both left and right hand configurations and features a full size bowl and a half size bowl, both mounted under your kitchen worktop.",https://www.homebase.co.uk/maia-fossil-kitchen-sink-worktop-acrylic-1-5-duo-left-hand-bowl-360-x-65-x-4-2cm_p317608,2139.0,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/4d63b6a8-9cec-403e-ad54-2731b697b3a4.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/feb913f2-40ea-4b26-91be-37a087ccc75e.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/468ec331-ee87-499b-b0b0-48d19c8451df.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/ea37647e-e9b9-4b60-9890-997f8f336cd4.jpg",,317608
2885,Home->Paint & Decorating->Paint->Interior paint->Emulsion paint->Neutral paint->Standard emulsion->2.5L,Paint,Farrow & Ball Modern No.231 Setting Plaster - Emulsion Paint - 2.5L,"Farrow and Ball Modern Emulsion Paint is washable, stain and scuff resistant making it ideal for kitchens, bathrooms and high traffic areas.",https://www.homebase.co.uk/farrow-ball-modern-no-231-setting-plaster-emulsion-paint-2-5l_p579726,46.5,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/a1115cf0-33f9-4c10-a036-908a1d22dbb6.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/241871ce-cd5d-4900-8478-8e2ff155a6b2.jpg",,579726
2886,"Home->Tools->Power tools->Drills->Cordless drills, skins & kits->Cordless drills",Power tools,Ryobi ONE+ 18V Brushless Hammer Drill R18PDBL-0 (Tool only),"Perfect for drilling into wood, steel, masonry and fastening applications. It is compact with a small but powerful motor and optimise efficiency with E-Torque control.",https://www.homebase.co.uk/ryobi-one-18v-brushless-hammer-drill-r18pdbl-0-tool-only-_p389745,92.0,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/b5b49ff3-3f67-4483-8967-8cd371990caf.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/f69be54b-45b0-4f66-b431-f626df3db4b3.jpg",,389745
2887,Home->Garden & Outdoor->Garden buildings->Sheds->Shed bases,Garden buildings,Forest Garden (Includes Installation) 7x5ft Wooden Shed Base with Metal Spikes,Our wooden shed bases are quick and easy to build and do away with the hassle of laying slabs or concrete bases.,https://www.homebase.co.uk/forest-garden-includes-installation-7x5ft-wooden-shed-base-with-metal-spikes_p389180,139.0,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/77bd680d-0523-4049-956a-a27fd9c0242e.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/a5a54f00-de0c-4d32-935c-b44036348e67.jpg",,389180
2888,Home->Bathrooms & Plumbing->Bathroom furniture suites->Harrington range->Grey->Basin units,Bathroom furniture suites,Balterley Harrington 600mm Cabinet With 1 Tap Hole White Marble Top - Grey,Add a cool touch of colour to your bathroom with this traditional grey unit.,https://www.homebase.co.uk/balterley-harrington-600mm-cabinet-with-1-tap-hole-white-marble-top-grey_p504100,760.0,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/6dae523d-d137-40ee-a764-2aed7e83f4bf.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/5d1fcf0d-eb59-4d85-b958-42c536f5c882.jpg",,504100
2889,Home->Paint & Decorating->Paint->Interior paint->Emulsion paint->Blue paint->Standard emulsion->2.5L,Paint,Craig & Rose 1829 Chalky Emulsion - Fresco Blue - 2.5L,"A radiant cerulean blue that reflects the heavenly, luminous skies of Italian Renaissance frescos.  Use with 1829 Light Grey Undercoat.",https://www.homebase.co.uk/craig-rose-1829-chalky-emulsion-fresco-blue-2-5l_p474641,35.0,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/dcc48b94-e08b-4eb3-9ec8-ce55ea15fe45.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/16e1f79d-22da-4510-8840-c478fc42bc51.jpg",,474641
2890,Home->Tools->Power tools->Saws->Circular saws,Power tools,Bosch EasyCut 12 LI Cordless Special Saw Baretool,"The Bosch EasyCut 12 is great for precise cuts and comes equipped with a powerful 12V Lithium-Ion battery. This tool is the world's first general-purpose saw with a ""Nano Blade"", a durable saw blade with a surrounding micro-chain, enabling vibration-free freehand cuts. The sawing technology is maintenance-free, requiring no oiling or sharpening of the saw blade. This versatile tool is compact and comes with a practical storage loop, making it easy to hang up whilst working or in your shed. Perfect for a variety of tasks and projects.",https://www.homebase.co.uk/bosch-easycut-12-li-cordless-special-saw-baretool_p494911,96.0,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/a3452113-461f-446a-bf0c-6142146fee32.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/35accce6-1067-4bcf-b251-e73376710b03.jpg",,494911
2891,Home->Paint & Decorating->Paint->Interior paint->Metal and wood->Eggshell,Paint,Farrow & Ball Modern Eggshell Midsheen Paint Yeabridge Green No.287 - 750ml,"Hardwearing mid sheen finish available in 132 colours. Use to update floors, stairs, skirting boards or to freshen up kitchen cupboards.  ",https://www.homebase.co.uk/farrow-ball-modern-eggshell-midsheen-paint-yeabridge-green-no-287-750ml_p485404,28.0,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/2394cccc-b8e6-4310-8489-7bc13f4e76b1.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/1f128d5b-0678-4831-b563-5de17092273a.jpg",,485404
2892,Home->Building & Hardware->Doors & door furniture->Interior doors->Glazed,Doors & door furniture,Inlay Internal Glazed Prefinished Oak 3 Lite Door - 762 x 1981mm,"This stylish glazed internal grey door will add timeless style to a modern home. Inset with a central clear glazed panel for a light and airy space, plus raised moulding and a light grey inlay to add a detailed touch. Hang it in a living room or dining room, or choose it to complete the look in your study. In prefinished grey, this is an effortless option that you can hang and enjoy, without having to varnish or paint it.",https://www.homebase.co.uk/inlay-internal-glazed-prefinished-oak-3-lite-door-762-x-1981mm_p497369,315.0,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/536259d7-31d9-4ad0-957f-b3b651a43388.jpg,,497369
2893,Home->Kitchens->Kitchen worktops->Solid surface worktops->Maia->Snow haze->Sink modules->28mm,Kitchen worktops,Maia Vanilla Kitchen Sink Worktop - Universal Super Large Bowl - 360 x 60 x 2.8cm,Vanilla is an elegant off white colour that looks great with a variety of kitchen designs. This super large stainless steel bowl is perfect if you're looking for that extra bit of space to soak your pots and pans.,https://www.homebase.co.uk/maia-vanilla-kitchen-sink-worktop-universal-super-large-bowl-360-x-60-x-2-8cm_p144047,1484.0,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/8d856ee7-66b8-4bf4-899d-3d7830b20538.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/1c89f203-5077-4f65-9752-62c7d38be795.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/5ca1fa10-6b52-44e7-8a6b-2cfbbe60541d.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/141cd28c-0004-4fe6-ab7f-cbf60497b422.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/fa402d8c-001f-4ab5-ad5e-b73841924a8f.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/b1094bc3-a7e8-474a-9a82-41bafc4f14f4.jpg",,144047
2894,Home->Kitchens->Kitchen worktops->Solid surface worktops->Maia->Lava->Sink modules->42mm,Kitchen worktops,Maia Lava Kitchen Sink Worktop - Acrylic Left Hand Bowl - 180 x 65 x 4.2cm,Lava features a mid grey tone with speckles of brown to give the impression of natural stone - a perfect topper for traditional white cupboards. The acrylic single bowl comes in both left and right hand configurations and is mounted under your kitchen worktop.,https://www.homebase.co.uk/maia-lava-kitchen-sink-worktop-acrylic-left-hand-bowl-180-x-65-x-4-2cm_p317545,1295.0,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/f8bbcd31-ca78-4997-8783-7543314e8129.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/9f677b6b-4f8a-4cfc-a9c6-2ef99193f215.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/9926f93e-3fdd-4f7c-a5de-13c0308c66c0.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/74d5b421-a456-4048-9ce4-6576c62d9b84.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/2851b252-c34d-4155-938b-1c297a0f1ffc.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/30b18898-09d9-42f5-adca-1731812fad99.jpg",,317545
2895,Home->Bathrooms & Plumbing->Plumbing->Waste traps->Basin & bath wastes,Plumbing,Balterley Pop Up Bath Waste,Contemporary brass bath waste.,https://www.homebase.co.uk/balterley-pop-up-bath-waste_p504742,119.0,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/5b9ad970-9902-41a2-a899-67bb626fe20f.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/443a69c2-0bcd-4c24-91f7-0ecc65c0cffe.jpg",,504742
2896,Home->Paint & Decorating->Paint->Specialist paint->All surface paint,Paint,Rust-Oleum Espresso - Gloss Paint - 750ml,"Universal All Surface Paint is an advanced brush-applied paint and primer in one, designed for direct application to many surfaces. Can be applied directly to wood, metal, plastics, ceramics and more.Application - Stir thoroughly prior to use. Apply 1-2 coats of product with a suitable brush or roller. For best performance on non-ferrous or galvanised metals use Universal Special Metals Primer prior to application. For porous surfaces dilute first coat with 10% white spirit.Coverage - Up to 9m2/litre. Coverage may vary depending upon method and rate of application and porosity of surface.Drying Time - Touch dry in 2 hours. Handle after 8 hours. Apply a second coat after 16 hours if necessary. Full hardness after 7 days. Not recommended for application in damp conditions or if the temperature is below 10oC.",https://www.homebase.co.uk/rust-oleum-espresso-gloss-paint-750ml_p125033,19.99,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/b2f5f231-84cc-4fbd-a91b-c2d6ed7e49b6.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/f71f66a5-374a-4aed-b1ad-f27c0a411f0d.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/f9208e52-1ba5-4c82-88a1-711047161edf.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/cb7eab3e-5922-43e2-8c29-841c10aa995e.jpg",,125033
2897,Home->Bathrooms & Plumbing->Plumbing->Radiators->Heated towel rails->Chrome,Plumbing,Heating Style Square Towel Warmer 1600 x 600mm - Chrome,The electric heating element has a safety feature which initiates in the event of a dry radiator operation. The electrical element is equipped with thermal fuse (double overheating protection) and temperature sensor and also offers frost protection (ANTIFREEZE). The advanced element will display warning indicators in the case of malfunction.,https://www.homebase.co.uk/heating-style-square-towel-warmer-1600-x-600mm-chrome_p496174,299.0,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/40ec9da3-9567-48f4-b4df-57b1c93e7703.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/33d8227a-2cc7-4480-889c-b8c4b5c1c4b1.jpg",,496174
2898,Home->Garden & Outdoor->Garden buildings->Garden storage->Plastic garden storage,Garden buildings,Keter Sumatra Rattan Effect Garden Deck Box - Grey / 511L,"Bring a stylish storage solution to your garden with this elegant Sumatra Storage Box completed with a rattan-style texture. The weather-resistant resin will handle all types of weather, keeping large cushions and pool supplies dry at all times. You can also use the box as a seating option, as it provides plenty of space for two adults. Made with a storage capacity of 135 gl/511 L and a piston assisted opening system, this storage box is as convenient as it is practical.",https://www.homebase.co.uk/keter-sumatra-rattan-effect-garden-deck-box-grey-511l_p382666,99.0,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/d7d20f14-d776-47de-89f2-e19bf765d919.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/f418e592-0347-46c4-b90a-57ab15d8d961.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/c77aeecd-cdc3-4b7c-b797-742cf3f8a435.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/4ce0acba-0c92-4511-9112-d94d79137602.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/9253f51a-586c-4a2d-8755-3cafd53ec749.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/983c77e1-98eb-4b8c-b331-bb76f4cc462d.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/8b539cb3-d313-4b82-b27b-d8cb136577fe.jpg",,382666
2899,Home->Tools->Power tools->Electric screwdrivers,Power tools,Bosch IXO 3.6V Screwdriver,"The Bosch IXO Screwdriver is suitable for all screw driving tasks in and around the home. The integrated Lithium-ion battery means that the tool is always ready to use, with no self-discharge and no memory effect.",https://www.homebase.co.uk/bosch-ixo-3-6v-screwdriver_p454314,30.0,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/3e9063b0-e371-4e25-8ce1-e8a0707f88c3.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/5e953ee4-7b00-4be5-bc77-a35fdc5aa3f0.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/39e74735-c5d0-4c54-9f8f-41662598c039.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/818d6a83-92bd-4f5f-b877-b36954ae1b9b.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/65fef22d-26fd-44b5-9a09-292e64785388.jpg",,454314
2900,Home->Paint & Decorating->Paint->Interior paint->Metal and wood->White paint->Eggshell,Paint,Craig & Rose 1829 Eggshell - Pantry White - 750ml,"A traditional, off-white milk shade that echoes the simple and pure aesthetics of Shaker pantry colours. Use with 1829 White Undercoat.",https://www.homebase.co.uk/craig-rose-1829-eggshell-pantry-white-750ml_p474860,16.0,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/755000a0-54cb-48fd-be41-40624c33e360.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/3c5b6c4f-8056-4d99-a6ba-538a9205d170.jpg",,474860
2901,Home->Paint & Decorating->Paint->Interior paint->Metal and wood->Yellow paint->Gloss,Paint,Farrow & Ball Eco No.223 Babouche - Full Gloss Paint - 2.5L,Farrow and Ball Eco Full Gloss Paint is a low odour reduced solvent paint with a traditional high gloss finish.,https://www.homebase.co.uk/farrow-ball-eco-no-223-babouche-full-gloss-paint-2-5l_p110958,62.0,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/5c50c225-4235-4d52-a330-404b420e2b2a.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/9b2abc54-d2fa-4978-8d21-a41a9987ffbe.jpg",,110958
2902,Home->Garden & Outdoor->Garden buildings->Sheds->Wooden sheds->8 x 6ft sheds,Garden buildings,Mercia 8 x 6ft Premium Shiplap Apex Wooden Shed,"The Mercia Premium Shiplap Apex, Mercia's range of premium buildings has 12mm shiplap cladding, 12mm tongue &amp; groove roof and floor and opening window giving your shed a more workshop like feel.",https://www.homebase.co.uk/mercia-8-x-6ft-premium-shiplap-apex-wooden-shed_p333916,580.0,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/65e3c930-1877-4d44-bf8d-a1ae8ce64768.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/4cab1ea3-b287-4bac-a533-ae26252cfba8.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/e9f5a62b-2dad-49a5-9c3b-7ccf9ce08618.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/7f405551-dad4-4a4b-88af-a92ff6049acd.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/e505c44d-db44-4667-bf47-b4279baaa4ec.jpg",,333916
